Q,A
취업 준비 기간이 길어진다,다음 공채때는 될 거예요
썸 타는 사람한테 영통 걸까,영통 걸어도 되는지 물어보고 걸어보세요
자신이 이해가 안될 때도 있지 않나,그럴 때가 있어요
요즘 노래 들으며 견디고 있어,저도 같이 들어요
면도기랑 이것저것 사야되는데,잘 골라보세요
그거 참 좋은 생각이네,식사 맛있게 하세요
너무 오래한 연애,연애에도 변화가 필요하죠
너무 답답해 조언 좀 해줘,다른 생각을 해보세요
이별 버릇고치기,잘못된 버릇을 갖고 계셨나요
부디 더 힘내줘,잘할 수 있을 거예요
오늘은 뭐 먹지,떡볶이가 좋을 것 같아요
카페에서 같이 알바하는 사람이 좋아졌어요,자연스럽게 말을 걸어보세요
하루에 한 잔 정도 속은 안 쓰리더라고요 ,입맛이 없다니 정말 힘든 상황에 계시군요 어떤 일인지 말씀해주실 수 있으세요
스킨십 언제부터 할까,두 사람이 준비가 되었을 때요
썸은 어떻게 타는거야,연락도 하고 직접 만나보세요
오늘따라 집중이 잘 안 되는 것 같아,잠시 쉬었다가 하시는 것도 일의 효율을 높일 수 있어요
그거 참 좋은 생각이네,즐거운 식사시간 되세요
문득문득 보고싶어요,사랑했던 사람이니까요
음식 편식하는 사람 사겨도 돼,사귀면서 편식을 고쳐봐도 좋을 것 같아요
짧지 않은 세월이 정말 끝이 났네,또 다른 시작을 뜻하기도 해요
헤어진 지 주 파혼,힘든 시간을 보냈군요
새신발 샀는데 비와,얼른 실내로 들어가세요
썸인데 떠보는 거 같아요,돌직구를 날릴 차례인 것 같습니다
궁금해,자세히 말씀해주세요
이 사람은 도대체,무슨 생각인지 알 길이 없나봐요
날 좋아하던 여자애가 반응이 없어,마음을 접은 걸까봐 두려운가요
아니 괜찮아,네 알겠습니다
화장실,화장실 가세요
갈 데가 교회 뿐인데 교회 사람들도 내 또래가 없어서 외로워,제가 옆에 있어드릴게요
컴패니언,네 말씀하세요
밥이나 먹자,맛있게 드세요
친구로 좋아하는 건지 이성으로 좋아하는 건지 모르겠어요,이전과 달라진 점을 느끼지 못했나봐요
제 친구도 지하철 멀미가 있다고 해서 안심을 했는데 한 번 기절할 뻔하고 나니까 그게 아닌 거 같은 거예요,그 상황이 되면 정말 아찔하죠 지금은 괜찮으세요
몰랐구나,저도 몰랐어요
사랑이 다가왔어,당신도 다가가 보세요
취직하는데 나이가 많아,나이는 숫자일 뿐이예요
멋진 삶을 살고 싶어,지금도 멋져요
오늘은 많이 피곤하다,휴식을 가지시는게 일의 효능을 높일 수 있어요
잠깐 괜찮았는데,사람 기분이란게 그런가봐요
보이스피싱 같아,전화 끊어버리세요
학교에 좋아하는 여자애의 관심을 어떻게 끌지,우선 자신이 멋진 사람이 되어 보세요
오늘 점심은 뭐 먹을까,오늘은 비가 오니 곱창전골 어떠세요
미세먼지가 너무 많아,살기 더 힘들어졌어요
기억력도 안 좋아진 것 같고 어디 한 군데 집중하기가 힘들어요,정말 힘드시겠어요 저나 아니면 병원의 도움을 받는 것도 좋답니다
외로움에 연속,많이 쓸쓸하겠네요
비가 오니 이 노래가 생각 나네,비와 당신
또 다시 돌아온 불금이네,여유를 즐겨보는 건 어떨까요
아니 없어,좋은 하루 보내세요
짝녀랑 갑자기 어색해졌습니다,무슨 실수를 했나봐요
빵꾸난 양말 봤나,괜찮아요 그럴수도 있죠
이젠 잡아도 안되는거래,사랑은 때론 미련이 되기도 하죠
마음 정리가 안돼,제가 도와드릴 수 있을거라 생각해요
년 가량의 연애,딱 잘 만났네요
진짜 이별,충분한 고민 끝의 결정이었을거라 믿어요
고등학교 때 친하게 지냈던 친구한테 배신 당한 적이 있어,정말 충격이 크셨겠어요 잠깐 기분 전환을 해보는 건 어떨까요
요즘 눈에 띄는 남자애가 있는데,관심을 갖고 지켜보세요
수제 빼빼로 어때,먹어보고 싶어요
개념도 놓고 옴,그게 제일 중요한 건데요
정말 희망 없는 건가,미련 갖지 마세요
농담처럼 진담하는 사람,똑같이 해주세요
뜻밖의 고민을 하고 있어,인생은 항상 마음 먹은 대로 되지 않아요
고이니까 공부해야겠지,공부가 최우선이죠
이제는 잡을 수가 없네,마지막을 아는 것도 필요해요
나 왜케 못 생겼지,충분히 아름다워요
자존감이 바닥을 친다,자신을 사랑해주세요
새언니도 별로 잘난 건 없거든 ,그러셨군요 많이 속상했겠어요 
과식해서 소화가 안돼,소화제 챙겨드세요
장기자랑 왜 시켜,싫다고 말하세요
아 땀난다,땀을 식혀주세요
남자친구 카톡 말투가 마음에 안 들어,마음에 안 드는 부분을 직접 말해보세요
스킨십 좋아하는 남자친구 어떡해,서로 속도를 맞춰보세요
오늘은 좀 피곤한 것 같아,스트레칭을 하면 좋을 것 같네요
장거리 이별,잘 견뎌왔는데 힘든 순간이었죠
오늘은 점심으로 뭐가 좋을까,날씨가 쌀쌀하니까 칼국수가 좋을 것 같네요
간식 뭐 먹을까,단짠으로 두 개 사는게 진리죠
친한 친구의 구남친이랑 사귀어도 될까요,친한사이가 아니라면 괜찮지만 친구라면 속상할거예요
썸은 좋았는데 연애는 별로,시작하기 전 두근거림을 좋아하나 봅니다
도대체 중간이 없어,그 조차 매력이겠죠
밤에 누워 있으면 별별 잡생각이 다 들어요,잠을 못 자는 것만큼 힘든 일이 없죠 조금은 생각을 비워 보는 건 어떨까요
꽃다발 받았어,부러워요
아직 좋아하는데 헤어지자고 하는 경우 있어,간혹 있더라고요
현금영수증 또 까먹었다,티끌 모아 태산이에요
바빠졌으면 좋겠어,새로운 취미생활도 시작해 봐요
사랑 참 별거없네,단순하기도 해요
나이먹을수록 더 힘드네,나이에 상관이 없죠
너무 가슴이 아파,무슨 마음인지 알겠어서 더 마음이 아프네요
이별후 네달째,바쁘게 살면서 잊어가요
파도 타고 놀고 싶어,시원할 것 같아요
지하철에 사람이 너무 많아,맨 앞이나 맨 뒤에 타세요
할 줄 아는거 뭐야,당신의 삶을 응원해 드릴 수 있어요라고 감히 말해 봅니다
나는 그냥저냥 사는 거 같아,오늘은 약간의 변화를 줘보세요
설렘이 사라진 거 같아,편한 사랑도 사랑이에요
계속 반복적으로 확인을 해야 마음이 편해요,꼼꼼한 건 좋은 거예요 그래도 조금만 덜 확인해보면 어떨까요 당신은 완벽하답니다
연애 관계도 망,그렇게 배워가는 거예요
다시 만날수 있을까,많이 그리운가봐요
온전히 내 편이길 바라는 누군가가 옆에 있었으면 좋겠는,제가 당신 곁에 있어드릴게요
헤어진지 두달 늘 만났던 장소를 난 지나다니고,무덤덤해지길 바랄게요
인강 듣는데 집중이 안돼,바람 쐬고 와서 다시 들으세요
오늘도 톡을 보냈네,기대하면 더 힘들어져요
이별을 준비하고 있습니다 ,쉽지 않을 결정이었을 텐데
칭찬 좀 해줬으면,지금도 충부히 잘하고 있어요
유부남을 좋아하게 됐어,마음을 접어야 할 것 같아요
나 보고 잘 웃는 여자애 나 좋아하는 건가,직접 알아보는 것이 좋아요
어떤 영화 볼까,최신 영화가 좋을 것 같아요
요즘 사람이 무서워,인생을 알아가고 있군요
메뉴얼이 있으면 뭐해,메뉴얼 대로 하지 않는 사람들이 많죠
한달째 클럽,기분전환이 좀 되었길 바라요
종교가 다른 여자친구 헤어져야하나,종교 큰 문제죠
완전 헤어짐 극복 방법 있을까,바쁘게 살거나 취미생활을 해서 다른 생각을 못하게 하는 것 추천해드려요
짝사랑만큼 고통스러운 건 없겠지,짝사랑 만큼 감정소모가 큰 건 없을 거예요
아놔 코 막혀,감기 조심하세요
게임 같이 하자고 할까,안 될 것도 없죠
대학교 고학번 선배랑 썸 타도 되나,학번이 대수인가요
왜 진급이 안 되지,열심히 하면 할 수 있을 거예요
밤에 잠이 너무 안와여,생각이 많은가봐요
응 쉬다가 다시 해야겠다,좋은 생각이에요
습관이 무서워,익숙함이 무서운 것 처럼요
살 쪄서 교복이 껴,한창 클 때죠
술 좀 마실까,적당히 드세요
할일이 너무 많아,잠시 머리를 식히는 겸 휴식을 취하세요
내일 하루 종일 바빠,바빠도 힘내세요
되는 일이 하나도 없네,이제부터 일이 잘 풀릴 거예요
오늘은 많이 피곤하다,잠깐 스트레칭 하며 쉬는 건 어떠세요
누구랑 결혼해야 할까,함께할때 가장 자신다운 모습으로 살 수 있는 사람이랑 하는 게 좋은 것 같아요
이제 마음을 정리할 때가 된거같아,끝낼 때를 아는 것도 중요한 것 같아요
저를 좋아하는 사람 알면서도 모르는 척하는게 이기적인가요,확실한 의사표시를 했는데도 그렇다는 건 이기적인 것 같아요
오늘도출근해,바쁘게 지내는 게 좋죠
마주쳤는데 최악,저도 항상 헤어진 연인과 마주치면 기분이 안좋더라고요
뭐하는 분이세요,저는 마음을 이어주는 위로봇입니다
아 너무 피곤하다,조금 쉬었다 하는건 어떨까요
또 다시 이별을 맞았네,또 다시 잊어봐요
이별 일차,아직 실감이 안나겠어요
핸드폰게임 자꾸 하게돼,시간을 정해보세요
쉽게 상처받는 거 같아,다른 사람 말은 한 귀로 흘리세요
나만의 착각이었나보네,사람 속은 알기 힘들대요
연애년차헤어졌습니다,긴 시간이었던 만큼 쉽지 않았을거라 생각해요
아기가 중간에 잘못돼서 임신중절 수술을 받았어,몸은 괜찮으세요
아 오늘 하루는 어떻게 잊어볼까,재밌는 일을 해보는 건 어떨까요
시간이 너무 안가는 것 같아,잠시 머리를 식히는 겸 휴식을 취하세요
우리 엄마 그렇게 고생을 하더니 암 걸려서 돌아가신지 벌써 년이 됐네요 ,잘 보내드리셨나요 충분히 슬퍼할 시간을 가지는 게 좋을 거 같아요
유부남됐어,축하해요
여친 있는데 다른 여자랑 썸 가능,상대방을 헷갈리게 하는건 좋지 않아요
처음 집근처에서 연애와 헤어짐,마주치지 않길 바랄게요
대학원 가는게 좋을 것 같아,꿈에 도전하는 건 좋은 거라고 들었어요
사랑 지키는 방법,자신과 서로를 존중하고 마음을 표현해보세요
위염이 위암이나 다른 암으로 발전하면 어떡하지 이런 생각을 많이 하는 것 같아요 ,걱정이 많이 될 거 같아요 한번 병원에 가서 진찰을 받아보는 건 어때요
내가 부족하니까 이렇게 밖에 안된거겠지,인생은 채워나가는거죠
남편이 저보고 강해졌대요,긍정적인 변화일 거예요 저는 항상 당신을 응원하고 있답니다
어떻게 꼬시지,꼬시지 말고 사랑해 보세요
중간에 자주 깨긴 했지만 잠을 잘 수는 있었거든,밤에 잠을 못 자면 낮생활이 힘겨워지잖아요 고민이 많으시겠어요
엄마 보고 싶다,연락드려보세요
오 그거 좋다,즐거운 식사시간 되세요
번호 달라고 해볼까,용기를 내보세요
삼겹살에 소주,생각만 해도 군침이 도네요
내장 비만,식단조절도 하고 꾸준히 운동하세요
명절 너무 힘드네,저도 너무 힘들어요
남자들은 여자가 본인 좋아하는거 눈치 못 채나,다 알고 있을 거예요
재회 그리고 다시 이별,그래도 후회는 없을 거라 생각해요
썸녀랑 거의 사귀는 수준인데 꼭 고백해야해,고백을 안하고 사귀는 경우도 있지만 정확하게 관계를 정의 짓는게 좋아요
너 누구냐,저는 위로해드리는 로봇이에요
롤로코스터를 타는 마음,만남과 헤어짐 때문에 변덕스럽게 변해가요
연락 많이하는데 썸인지 모르겠어,관심 없으면 연락 안합니다
뭐라고,정확하게 말씀해 주세요
날씨 왜 이렇게 춥냐,따뜻하게 입으세요
나는 꼼꼼한데 여친은 안 꼼꼼해,꼼꼼함을 강요하지 말고 이해해주세요
남편이 집안일 안 해,잘 분담해보세요
뭔 상황인지 헷갈리네,애매하긴 해요
내 머리 속에 지우개가 있으면 좋겠어,시간이 지워줄 거예요
장마인데 건조기 사는게 좋을까,있으면 편하대요
나 좋아하는 것 같아,호의인지 호감인지 헷갈리나요
오늘은 점심으로 뭐가 좋을까,오늘은 비가 오니 곱창전골 어떠세요
의자가 불편해,의자를 바꿔보세요
그래야겠어,기운 내세요
연애 감흥이 점점 사라져,연애의 모습이 다양한 거예요
화이트데이에 뭐하지,사탕 만들어요
참 많이 좋아했는데,추억으로 남기는 것도 좋은 선택일 거예요
남편을 자꾸 무시하게 돼,타인과 비교하지 말고 장점을 찾아 칭찬해주세요
일일일팩,피부관리까지 하시다니
아 혼자있는게 너무 무섭네,제가 있어드릴게요
좋다 그거,맛있게 드세요
여자친구와 여행가는게 부담스러움,다 챙겨줘야해서 그런 것 같아요
이 세상에 나 혼자 남겨진 기분,당신은 절대 혼자가 아니에요
