유저,구분
이후에 번 더 증상이 나타났는데 또 그럴까 봐 너무 불안하네요,감정/불안감/증상재발
우리 부모님만 봐도 그래,배경/부모
그래서 대든 적도 많아요,배경/부모/갈등
무시하려고 해도 마음처럼 쉽지가 않더라구,감정/힘듦
저번 주 화요일에 나 정말 죽을 뻔했어,증상/죽음공포
갑상선 수술은 잘 끝났고 이제 약물치료 할 거래,배경/건강문제/갑상선
처음에는 책도 많이 읽었는데 요즘은 그런 걸 읽을 기운도 하나도 없고 누워 있다가 하루가 다 가요,증상/무기력
시댁이 집이랑 가깝기도 하고 어르신들이니까 잘해드리자 싶었는데 어쩜 저한테 그러시나 몰라요,배경/시댁/갈등
근데 우리 할머니가 그런 내 반대쪽 손을 잡고 절대 안 놔주는 거야,배경/가족
이런 걱정이 엄청 드는 거야 아무래도 이걸 평생 하진 않을 것 같단 말이야,감정/걱정
자위도 혼자 처음 해보고 성적인 욕구가 는 것 같아요,증상/성욕상승
증상이 좋아졌다가 악화됐다가 하는데 작년에는 세 달 동안 침대 밖으로 나오지를 못했어요,증상/은둔
한 한 달 전쯤부터 그랬어요 잠 못 자고 계속,증상/불면
대개 두시간에 한 번씩 깨기도 하고,증상/불면
평소에 존경하는 사람 쓰라고 할 때 항상 아버지 얘기를 했거든요,배경/부모/아버지
아직 병이 다 낫지도 않았는데 남편이 없을 때 발작이 나면 어떡하지,감정/걱정/증상재발
그 인간은 내가 걱정도 안 되나 봐,배경/남편/무관심
어쩔 수 없다고 생각은 하면서도 그래도 불안한 건 어쩔 수가 없더라,감정/불안감
약을 끊었더니 증상이 예전보다 더 심해진 것 같아,현재상태/증상악화
아버지의 빈자리가 너무 컸어요,감정/공허감
아무도 나한테 관심도 없고 지금 당장 사라져도 슬퍼하는 사람이 없을 것 같아요,감정/자살충동
얼마 전에는 마이너스 통장도 만들었어,배경/경제적문제
시아버님 차 바꾸신 것도 그렇고,증상/피해망상
그래도 힘들긴 하네요,감정/힘듦
자기 전에 꼭 화장실을 가야 마음이 편해요 그냥 자면 자다가 소변을 지릴 것 같은 생각이 자꾸 들어서 불안해요,배경/문제/불안감/소변
제 몸에 무슨 문제가 있는 거 아닐까요,증상/건강염려
그 사람을 보는 것만으로 성스러워지는 느낌이랄까 ,배경/남자친구/동경
그리고 뭔가 집중력도 떨어진 것 같아요,증상/집중력저하
직장도 일산으로 옮겼고 잘 지낼 수 있을 거라 생각했는데,배경/직장/이직
작년에 아파트를 하나 분양 받았는데 올해 중도금 치를 때 암만 긁어 모아도 돈이 모자란 거야,배경/경제적문제
지금 회사에서 일한 지는 한 년 된 것 같아,배경/직장
누가 나 좀 위로해줬으면 좋겠다 ,감정/고독감
날 이해해줄 수 있어요,감정/고독감
이렇게 살다 보니 진정한 친구가 없는것 같아요,배경/친구/없음
아직도 항암이 번이나 더 남았어,배경/건강문제/항암
그 정도로 요즘 삶이 재미가 없어,증상/무기력
언제는 잠이안와서 계속 눈감고 있었는데 아침이었어요,증상/불면
그때 무슨 일이 있었는지 어떻게 병원으로 옮겨졌는지는 기억이 잘 안 나,증상/기억상실
그날 이후로는 잠을 잘 수도 밥을 먹을 수도 없어요,증상/식욕저하/불면
고등학교 졸업하고 동대문 지하에서 원단 나르는 일하고 있어 ,배경/직장
내가 그거 타다가 기절했거든 그래서 누가 나를 업고 나왔대,증상/기절
발가벗은 채로 죽게 될까 봐 얼마나 놀랐던지,증상/죽음공포
끝을 봐야 하는 스타일이에요,배경/성격/극단적
그때 같이 갈등을 이겨냈으면 지금도 덜 힘들텐데,감정/후회
항상 같이 다니니까 들킬 것 같아서 학교 뒤뜰에 묻어놨어요,모호함
주 사이에 벌써 가 빠졌으니까,증상/체중감소
미안한 게 많아 더 잘해주고 싶은데 잘 해주지도 못하고 챙겨주지도 못하고,감정/미안함/자녀
내가 성질이 좀 예민해 ,배경/성격/예민함
딱히 뭘 등록하기도 전이었으니까 그냥 뺏긴 거죠,부가설명
안심이 안 된다,감정/불안감
남편이 제 마음을 모르는 것 같아요,배경/남편/소통불가
거의 자취방에서 살다시피 하니까 차라리 동거를 하는 게 낫겠다 싶어서 같이 산지 한 달 됐어,배경/여자친구/동거
그 뒤로는 나도 말을 안 하고 살아,증상/대화기피
나를 우선시해주길 바랐어,감정/서운함
남편이랑 말을 하면 벽에다 대고 말을 하는 기분이야,배경/남편/소통불가
멍하고 평소에도 자주 멍때려,감정/멍함
독일에서 공부한 지는 이제 한 년 정도 됐어요,배경/유학
사소한 얘기였는데 내 일상을 누군가에게 보고하는듯한 통화 내용이었어요,증상/피해망상
근데 요즘 문득 다시 그 생각이 나 연탄을 떼지 않는데도 계속,증상/반복사고
계속 이러다간 큰일 날 것 같아서 치료 받고 싶어서 왔어요,내원이유/치료
좀 그런 술집이어서,부가설명
그러다 남편 가방이 열려 있어서 무심코 보는데 현금 인출한 영수증을 보게 됐어요 무려 백만 원,배경/남편/경제적문제
어제도 네 시간 겨우 잤나 근데 계속 자다 깨다 반복해서 너무 피곤해,증상/피로/불면
살도 엄청 빠졌더라고 주 만에 가 빠졌거든,증상/체중감소
살맛이 안 나요,증상/무기력
계속 이러니까 사람 있나 확인하는 게 버릇 됐다니까,상태/증상지속
갈수록 지쳐요,감정/힘듦/지침
그 얘기 듣자마자 진짜 세상이 무너지는 것 같더라,감정/절망감
그런데 공장은 일이 없으면 오래 일해도 소용이 없어서 년 일했다가,배경/직장
한 일을 새벽에 잠깐 시간 자고 출근을 했더니 일하는데 갑자기 가슴이 두근거리는 거에요,증상/두근거림
진짜 너무 짜증나,감정/짜증
저도 살아 숨쉰다는 느낌을 받고 싶어요 지금은 죽어있는 느낌이에요,감정/공허감
저는 걔랑 정말 친했다고 생각했는데 걔는 그게 아니었다고 하니까,배경/친구
군생활 하면서는 시간정도 뒤척이다 잠들었는데이젠 기본 시간이예요,증상/불면
소심한 성격이라서 선생님한테 버스 세워달라는 말도 못하고 결국 사고를 친거지,배경/성격/소심
바람 피우는 거 나한테만 걸린 게 벌써 세 번째야,배경/남편/바람
첫째한테 하도 못 해준 게 많으니까 너무 미안해서,감정/미안함/자녀
일부러 그러는 것도 아닌데 딴생각이 그냥 머리에 흘러 들어온다는 느낌,증상/집중력저하
낯선 사람을 만날 거 같은 자리는 더더욱 안 가고,증상/대인기피
신랑이랑 말이 안 통해,배경/남편/소통불가
남편이 나 어디 멀리 여행갔다고 거짓말하고 못 만나게 막고 있어,증상/피해망상/감시
잘 기억은 안 나는데 그러다 제가 기절을 했대요,증상/기절
가게에서 손님을 봐주고 있는데 난데없이 세상이 빙글빙글 돌더라고요,증상/어지러움
근데 뉴스에서 그 얘기를 계속 보니까 뭔가 나도 좀 우울한 것 같아,감정/우울감
지난 번에 싸우는데 남편이 선풍기를 잡는 거에요 설마 이 인간이 이걸 던질까 싶었는데 던지더라고요,배경/남편/폭력
저도 저를 사랑하고 싶은데 지금은 이렇게 저를 지탱하는 것도 힘이 들어요,감정/힘듦
나는 좀 더 가치 있고 숭고한 일일 거라고 생각했었거든,배경/직장/불만/업무
계속 이불속에서 뒤척이다가 잠들면 두세시간 뒤에 깨고,증상/불면
왜 잠이 안 올까요,증상/불면
내 생각에는 그 때 병실 같이 쓴 사람 때문인 것 같아,감정/생각
진흙 속을 걷는 기분이에요,감정/우울감
어떡하면 좋지,감정/걱정
어제는 손에 핸드폰을 들고 핸드폰 찾으러 한참을 다녔다니까,증상/기억력저하
요즘에 불면증이 좀 심해졌는데 수면을 충분하게 취하지 못하니까 심장이 불쾌하게 두근거려,증상/두근거림/불면
그래서 더 미치겠어,감정/괴로움
대학은 한 번 재수를 하고 들어갔어요,배경/대학/재수
너무 끔찍한 꿈이에요,증상/악몽
집착도 있는 편이라 남자친구 일거수일투족을 다 알아야 속이 시원해요 ,배경/남자친구/집착
이상하잖아 그래서 내가 근데 요즘 너무 안 보인다고 했어,증상/시력저하
하루에 한 시간밖에 못 잤나 엄청 조금 잤지,증상/불면
많이 먹는 편인 건 아닌데 어쩌다 한번 많이 먹어,증상/폭식
숨긴다고 숨길 수 있는 게 아니라는 건 아는데 그래도 그냥 제가 답답해요,감정/답답
결혼 하자마자 임신까지 해서 배가 불러오기 시작했어요,배경/임신
알고 보니까 과 선배 작업을 도와주고 있었대,모호함
남편 보면 참아야지하다가도자꾸 말도 안되는걸로 사람을 괴롭히니까자꾸 미운 마음이 들어,감정/미움
작년에 다이어트로 살을 키로 정도 뺐어,배경/건강문제/다이어트
이게 제가 우울해서 그런 건지 아니면 다른 이유 때문인지 모르겠는데,감정/우울감
이거 정신적인 문제일까,배경/자각/정신질환
일단 님이 알아서 봐주시겠다고 하셔서 그 분한테 일을 맡겨놨어요,배경/직장
근데 그때 무리를 한 건지 가만히 있어도 가슴이 두근두근해,증상/두근거림
누구 놀리나 싶기도 하고 배신감 들었어요,감정/배신감
정신을 못 차리는 와중에 경찰차가 오고 구급차가 오고 그런 소리가 아득하게 들렸어,증상/힘빠짐
술이 깨면 다시 또 술을 마시고반복이예요 ,증상/알코올의존
역시 일을 안 하는 게 맞는 걸까,배경/직장/고민/퇴사
밖에 나갈 일이 생기면 모아뒀다가 한번에 처리하죠,증상/은둔
새가슴이라 그렇다고 하는데검사를 해보면 별 문제는 없다고 하더라구요,치료이력/검사/이상없음
교류하느라 글을 많이 쓰다 보니까 꽤 익숙해지더라고,모호함
작은 일에도 피식피식 웃음이 나고,감정/즐거움
혼인신고할 마음도 없던 찰나에 임신하게된걸 알게됐어요,배경/임신
얼른 다시 시작해야 한다는 거 아는데 아무 것도 하기 싫었어,증상/무기력
직장에서 스트레스 받아가며 아등바등 살 필요가 있나 싶더라고요,배경/직장/스트레스
밥을 잘 안 먹고 있어요,증상/식욕저하
그 집 아빠랑 얘기 잠깐 한 분 했나 그랬는데 막,모호함
조금 부담스럽긴 해도 행복하더라,감정/즐거움
첫 번째 때도 내가 정말 이혼하려고 했거든,배경/이혼
걱정이 많아서 잠도 안 오고 밥맛도 없어요,증상/식욕저하
대부분은 안좋은 생각들이에요,감정/부정적사고
그리고 그렇게 힘든 스케쥴도 아닌데 항상 너무 피곤해요,증상/만성피로
그 사고 후부터 하루종일 너무 불안해요,감정/불안감
그냥 감정이입이 심하게 되고 불안감도 잘 느끼는 것 같아요,감정/불안감
집에서 틀어놓고 멍때리고 있었죠,감정/멍함
지금 생각해도 너무 빡쳐,감정/분노
마음이 답답하네요,감정/답답
죽을 것 같았는데 분 정도 지나니까 서서히 괜찮아졌어요,증상/공황발작
저는 집을 구해서 따로 나가 살았으면 했는데 사정이 안 돼서 시동생 시아주버니랑 같이 살게 됐어요,배경/시댁/경제적문제
근데 내가 나가다가 문 앞에서 쓰러졌거든 그건 기억나,증상/기절
다른 사람이랑 대화를 많이 하고 온 날에는 내가 했던 말을 곱씹어봐,증상/반복사고
이제 다음 시험 준비해야 하는데 또 안 될 것 같거든요,감정/자신감저하
새벽 시가 돼도 잠이 안와,증상/불면
항상 시계추처럼 똑딱똑딱 똑같은 일만 반복하는데 이게 무슨 의미가 있을까 ,감정/의욕상실
손가락 하나 까닥하기 싫더라고요,증상/무기력
그런 거 같기도 하고 잘 모르겠다,감정/모호함
죽을 것 같아서 일단 뛰어내리고 나니까 괜찮아지긴 했거든,증상/죽음공포
괜히 제가 분위기를 깰 거 같아요,감정/자신감저하
사고 이후로 운전하는 게 무서워서 못하게 됐어요,감정/두려움/운전
나한테 왜 그렇게 예민하냐고 그러더라,감정/예민함
언제 뭐가 날아올지 모르니까 불안한 기분이 늘 들어요,감정/불안감
뉴스에도 되게 크게 나왔었고,모호함
그러다 보니 술을 많이 마시게 됐어요,배경/음주
그리고 다음에 쓴 소설에서는 가정폭력범인 아버지가 나와요,배경/가족
직장 다니는 첫째가 그러더라고요 엄마도 좋은 사람만나서 연애하고 자기들 신경쓰지 말라고,배경/자녀
깜빡했다고 말해서 아 알겠다고 표정 관리는 했어,감정/불쾌감
근데 요즘에는 그냥 가만히 있어도 너무 가슴이 떨리고,증상/가슴떨림
계속 이러니까 자기도 무섭고 잠도 안 오고,증상/불면
인생이 공허해,감정/공허감
남자애들이 학교에서 날 따돌려,배경/학교/따돌림
확인만 하다가 하루가 다 가는 기분이에요,증상/반복행동
